HudongItem1,relation,HudongItem2
蛇眼,narrative location,新泽西州
亚特兰大,sister city,第比利斯
紫葳科,has fruit type,蒴果
蛇眼,filming location,蒙特利尔
刘勇,languages spoken written or signed,汉语
紫葳科,has fruit type,浆果
蛇眼,filming location,新泽西州
亚特兰大,sister city,雅典
蛇眼,color,彩色
亚特兰大,sister city,布加勒斯特
刘勇,educated at,清华大学
亚特兰大,sister city,布鲁塞尔
Progressive,instance of,单曲
Canada,separated from,英国
山橘,taxon rank,种
赵孟頫,sex or gender,男性
兰州大学,country,中华人民共和国
山矾属,taxon rank,属
Canada,separated from,英国
Reuter,instance of,姓氏
上海电视台,country,中华人民共和国
玉山,instance of,山
山橘,parent taxon,金橘
赵孟頫,country of citizenship,中国
山矾属,parent taxon,山矾科
吕梁,sex or gender,男性
玉山,continent,亚洲
大凌风草,taxon rank,种
赵孟頫,country of citizenship,元朝
Emerson,instance of,名字
Reuter,language of work or name,英语
吕梁,country of citizenship,中华人民共和国
长耳鸮,taxon rank,种
莱姆,country,法国
Emerson,writing system,拉丁文字
radix,language,拉丁语
Reuter,writing system,拉丁文字
大凌风草,has fruit type,颖果
赵孟頫,place of birth,湖州市
硫柳汞,instance of,化合物
氟乙烯,instance of,化合物
万氏,instance of,姓氏
长耳鸮,parent taxon,Asio
Emerson,family name identical to this given name,Emerson
Reuter,different from,Reuter
吕梁,place of birth,河北省
赵孟頫,place of death,北京市
碧玉兰,taxon rank,种
魏州,sex or gender,男性
斯巴达,country,希腊
Emerson,different from,Emerson
硫柳汞,subclass of,过敏原
硫柳汞,has part,汞
变压器,has part,电感元件
硫柳汞,has part,硫
硫柳汞,has part,碳
Stuff,country of origin,美国
钇,location of discovery,芬兰
Stuff,original language of work,英语
斯巴达,basic form of government,共和制
Canada,permanent duplicated item,Canada
议员,instance of,专业
147年,instance of,年
酒精灯,subclass of,烘箱
印度人,instance of,族群
Sime,instance of,姓氏
Sime,language of work or name,英语
沅江县,country,中华人民共和国
过氧化物,subclass of,化学物质
Biology,instance of,科学期刊
1719年,instance of,年
PC,subclass of,电子计算机
坎普,country,葡萄牙
Sime,writing system,拉丁文字
罗马尼亚,country,法国
短颌鲚,taxon rank,种
艾达,country,法国
Sime,different from,Sime
地球大气层,instance of,大气层
价值,subclass of,value
1489年,instance of,年
Biology,language of work or name,英语
冰晶石,subclass of,氟铝酸钠
1719年,follows,1718年
PC,has part,中央处理器
短颌鲚,parent taxon,Coilia
伍德沃德,sex or gender,男性
1719年,followed by,1720年
显像管,instance of,真空管
52,instance of,年
地球大气层,part of,地球
伍德沃德,country of citizenship,美国
冰晶石,named after,冰
PC,has part,主板
显像管,part of,显示器
野古草,taxon rank,种
地名,field of work,地理学
地球大气层,field of work,气象学
伍德沃德,given name,罗伯特
1489年,followed by,1490年
冰晶石,named after,stone
显像管,part of,电视机
脲,instance of,化合物
汉安,instance of,年号
辣椒,subclass of,蔬菜
山居,instance of,诗
点火器,subclass of,工具
止血,opposite of,出血
地球大气层,located on astronomical body,地球
伍德沃德,place of birth,波士顿
城关镇,country,中华人民共和国
辣椒,subclass of,果实
维尔京群岛,country,美国
红血球,subclass of,血细胞
山居,genre,唐诗
地球大气层,studied by,气象学
伍德沃德,place of death,剑桥
冰晶石,streak color,白色
PC,has part,显示器
CK,instance of,基因
Garlic,instance of,姓氏
444年,instance of,年
醋酸铊,instance of,化合物
城关镇,located in the administrative territorial entity,三原县
脲,found in taxon,智人
维尔京群岛,country,英国
红血球,part of,血液
山居,country of origin,唐朝
地球大气层,studied by,地球物理学
冰晶石,crystal system,单斜晶系
周文华,country of citizenship,中华人民共和国
Garlic,writing system,拉丁文字
维尔京群岛,located in or next to body of water,加勒比海
山居,language of work or name,文言文
伍德沃德,cause of death,心肌梗死
1037年,instance of,年
千金翼方,instance of,文学作品
关,instance of,姓氏
1969年,instance of,年
周文华,family name,周
CK,found in taxon,智人
Garlic,different from,Garlic
伍德沃德,languages spoken written or signed,英语
PC,has part,机箱
轮叶沙参,taxon rank,种
Sergio,language of work or name,西班牙语
伯明翰,country,英国
地球大气层,has part,对流层
伍德沃德,occupation,化学家
1969年,follows,1968年
周文华,member of political party,中国共产党
地球大气层,has part,平流层
伍德沃德,occupation,教师
Stuff,filming location,纽约
1969年,followed by,1970年
地球大气层,has part,中间层
奥林比亚,material used,油彩
Stuff,filming location,新泽西州
Sergio,writing system,拉丁文字
脲,has part,氧
雷诺,country,法国
地球大气层,has part,电离层
奥林比亚,material used,帆布
伍德沃德,field of work,有机化学
Sergio,family name identical to this given name,Sergio
脲,has part,碳
Stuff,color,彩色
Sergio,different from,Sergio
Sergio,different from,Sergio
地球大气层,has part,热层
奥林比亚,depicts,床
伯明翰,sister city,芝加哥
奥林比亚,depicts,猫
伯明翰,sister city,莱比锡
奥林比亚,depicts,女人
奥林比亚,depicts,花束
伯明翰,sister city,里昂
雷诺,product or material produced,汽车
伍德沃德,award received,诺贝尔化学奖
雷诺,product or material produced,载货汽车
伯明翰,sister city,西安市
1349年,instance of,年
子宫,instance of,生殖器
奥林比亚,depicts,黑人
安丘县,country,中华人民共和国
鹊鸭,taxon rank,种
子宫,subclass of,生殖器
金龙,sex or gender,男性
奥林比亚,depicts,肚脐
艺文类聚,instance of,文学作品
扇,instance of,五言律诗
安丘县,located in the administrative territorial entity,潍坊市
1349年,follows,1348年
金龙,country of citizenship,中华人民共和国
奥林比亚,depicts,白人
杨柳目,taxon rank,科
中国科学院沈阳应用生态研究所,country,中华人民共和国
印度事务部,country,英国
扇,instance of,诗
庭菖蒲,taxon rank,种
1349年,followed by,1350年
金龙,place of birth,辽宁省
蜗牛,instance of,俗名
门源回族自治县,instance of,自治县
扇,genre,唐诗
蜗牛,subclass of,腹足纲
山东大学,country,中华人民共和国
独丽花,taxon rank,种
秦仁昌,sex or gender,男性
兄妹,country of origin,日本
Silt,country,美国
门源回族自治县,country,中华人民共和国
中国科学院沈阳应用生态研究所,parent organization,中国科学院
扇,country of origin,唐朝
伍德沃德,nominated for,诺贝尔化学奖
伊泰普水电站,instance of,水电站
suture,instance of,suture
脂肪肝,instance of,疾病
486年,instance of,年
Davidson,instance of,姓氏
墨脱县,instance of,县
山东大学,located in the administrative territorial entity,济南市
秦仁昌,country of citizenship,清朝
兄妹,original language of work,日语
扇,language of work or name,文言文
子宫,use,妊娠
金龙,different from,金龙
RCS,programming language,C语言
伍德沃德,nominated for,诺贝尔化学奖
黑桦,taxon rank,种
Davidson,language of work or name,英语
十字花科,taxon rank,科
墨脱县,country,中华人民共和国
蜗牛,different from,腹足纲
秦仁昌,country of citizenship,中华人民共和国
杨柳目,has fruit type,蒴果
伍德沃德,nominated for,诺贝尔化学奖
崧泽遗址,country,中华人民共和国
黑桦,parent taxon,桦木属
486年,follows,485年
Davidson,writing system,拉丁文字
独丽花,has fruit type,蒴果
秦仁昌,family name,秦
伍德沃德,nominated for,诺贝尔化学奖
拉里奥哈省,country,阿根廷
毛茛,taxon rank,种
Davidson,different from,Davidson
伍德沃德,nominated for,诺贝尔化学奖
机翼,use,航空
毛茛,parent taxon,毛茛属
伊泰普水电站,lake inflows,巴拉那河
秦仁昌,place of death,北京市
伍德沃德,nominated for,诺贝尔化学奖
拉里奥哈省,located in the administrative territorial entity,阿根廷
伊泰普水电站,lake outflow,巴拉那河
伍德沃德,nominated for,诺贝尔化学奖
伊泰普水电站,country,巴西
安丘县,contains administrative territorial entity,辉渠镇
伍德沃德,nominated for,诺贝尔化学奖
伊泰普水电站,country,巴拉圭
秦仁昌,field of work,植物学
伍德沃德,nominated for,诺贝尔化学奖
安丘县,contains administrative territorial entity,金冢子镇
奥林比亚,owned by,法国
伍德沃德,nominated for,诺贝尔化学奖
伊泰普水电站,located in the administrative territorial entity,巴拉那州
奥林比亚,location of final assembly,巴黎
伍德沃德,nominated for,诺贝尔化学奖
伊泰普水电站,located on terrain feature,巴拉那河
秦仁昌,educated at,南京大学
伍德沃德,nominated for,诺贝尔化学奖
伍德沃德,nominated for,诺贝尔化学奖
伊泰普水电站,watershed,拉普拉塔平原
伍德沃德,nominated for,诺贝尔化学奖
伍德沃德,nominated for,诺贝尔化学奖
伍德沃德,nominated for,诺贝尔化学奖
伍德沃德,educated at,麻省理工学院
芳基,subclass of,官能团
哈士蟆,taxon rank,种
格拉塞,country,法国
黄羽扇豆,taxon rank,种
波斯帝国,instance of,帝国
海盐县,instance of,县
AET,country,美国
密阳,country of origin,大韩民国
ALA,field of work,图书馆
黄羽扇豆,parent taxon,羽扇豆
利玛窦,sex or gender,男性
花叶竹芋,taxon rank,种
雪兔,taxon rank,种
海盐县,country,中华人民共和国
大黄,taxon rank,种
斯科特,instance of,城市
防腐剂,subclass of,食品添加剂
矮壮素,instance of,阳离子
利玛窦,country of citizenship,明朝
波斯帝国,diplomatic relation,中华人民共和国
海盐县,located in the administrative territorial entity,嘉兴市
大黄,parent taxon,大黄属
埃丁,country,德国
哈士蟆,named after,陕西省
ALA,country,美国
紫萼,taxon rank,种
三疣梭子蟹,taxon rank,种
Mg,subclass of,碱土金属
斯科特,country,美国
防腐剂,subclass of,化学物质
Soda,instance of,化合物
矮壮素,instance of,化合物
ALA,located in the administrative territorial entity,美国
白云,instance of,大熊猫
电视技术,instance of,技术
紫萼,parent taxon,玉簪
斯科特,located in the administrative territorial entity,路易斯安那州
Soda,conjugate base,碳酸氢盐
波斯帝国,diplomatic relation,奥斯曼帝国
王琼,sex or gender,男性
白云,sex or gender,雌性
雪花,country,美国
万山群岛,country,中华人民共和国
大圆,subclass of,圆
酸酐,subclass of,化学物质
黄酒,subclass of,酒
white,instance of,颜色
湖南路,country,中华人民共和国
马克思主义,instance of,经济理论
王琼,family name,王
黑三棱科,taxon rank,科
Mg,part of,碱土金属
利玛窦,place of death,北京市
ALA,headquarters location,芝加哥
山羊草属,taxon rank,属
杧果属,taxon rank,属
white,subclass of,颜色
白云,child,华美
Soda,has part,碳
猴痘,instance of,疾病
顶体,part of,精子
PHI,instance of,基因
清水湖,instance of,湖泊
天冬氨酸,instance of,化合物
杧果属,parent taxon,漆树科
Levy,sex or gender,男性
white,opposite of,黑色
电视技术,has part,视频
Soda,has part,氧
庙台槭,taxon rank,种
水蒸汽,subclass of,水
石龙芮,taxon rank,种
Mg,location of discovery,英国
利玛窦,languages spoken written or signed,汉语
单调性,subclass of,函数
大学士,instance of,职位
越,author,苏辙
脑苷脂,subclass of,糖苷
庙台槭,parent taxon,枫属
石龙芮,parent taxon,毛茛属
PHI,found in taxon,智人
天冬氨酸,subclass of,氨基酸
white,has part,红色
利玛窦,languages spoken written or signed,拉丁语
拉里奥哈省,shares border with,圣胡安省
水蒸汽,used by,蒸发
white,has part,橙色
杜罗河,instance of,河流
骆马湖,instance of,湖泊
吴县,instance of,县
脑苷脂,has part,碳
white,has part,黄色
拉里奥哈省,shares border with,科尔多瓦省
龙舌草,taxon rank,种
骆马湖,basin country,中华人民共和国
林克,sex or gender,男性
吴县,country,中华人民共和国
西辽河,instance of,河流
DNT,instance of,化合物
半透膜,subclass of,膜
Auger,instance of,姓氏
杜罗河,mouth of the watercourse,大西洋
骆马湖,country,中华人民共和国
脑苷脂,has part,氧
西辽河,mouth of the watercourse,辽河
肿瘤学,studies,癌症
Auger,language of work or name,法语
TW,country of origin,英国
水蒸汽,said to be the same as,蒸汽
利玛窦,occupation,传教士
古柯碱,instance of,化合物
masculine,instance of,性
西辽河,continent,亚洲
Auger,language of work or name,英语
white,has part,雪青色
